danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,type,uri,analysis_url,track_href
0.676,0.795,6,-6.648,1,0.0485,0.307,6.61e-06,0.0971,0.585,135.924,4J37kFNUhbX5NV1VFdVLSH,219278,4,audio_features,spotify:track:4J37kFNUhbX5NV1VFdVLSH,https://api.spotify.com/v1/audio-analysis/4J37kFNUhbX5NV1VFdVLSH,https://api.spotify.com/v1/tracks/4J37kFNUhbX5NV1VFdVLSH
0.506,0.886,11,-3.225,1,0.0655,0.0916,0,0.0734,0.595,143.935,03fT3OHB9KyMtGMt2zwqCT,226867,4,audio_features,spotify:track:03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/audio-analysis/03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/tracks/03fT3OHB9KyMtGMt2zwqCT
0.466,0.704,1,-7.169,1,0.0353,0.1,2.71e-05,0.0744,0.481,176.043,6BCrbWBpb8d6KWmEqZ41tr,248427,4,audio_features,spotify:track:6BCrbWBpb8d6KWmEqZ41tr,https://api.spotify.com/v1/audio-analysis/6BCrbWBpb8d6KWmEqZ41tr,https://api.spotify.com/v1/tracks/6BCrbWBpb8d6KWmEqZ41tr
0.601,0.793,8,-4.459,1,0.0356,0.027,6.88e-05,0.163,0.296,107.987,51ySuLraP9Oirk2XHwQnTA,259080,4,audio_features,spotify:track:51ySuLraP9Oirk2XHwQnTA,https://api.spotify.com/v1/audio-analysis/51ySuLraP9Oirk2XHwQnTA,https://api.spotify.com/v1/tracks/51ySuLraP9Oirk2XHwQnTA
0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,6E9V9TRlVOLjenGjHemzEH,224293,4,audio_features,spotify:track:6E9V9TRlVOLjenGjHemzEH,https://api.spotify.com/v1/audio-analysis/6E9V9TRlVOLjenGjHemzEH,https://api.spotify.com/v1/tracks/6E9V9TRlVOLjenGjHemzEH
0.69,0.416,7,-7.865,1,0.0335,0.617,1.37e-06,0.102,0.479,82.45,6wycnu8FWXsj68ig7BEot9,230600,3,audio_features,spotify:track:6wycnu8FWXsj68ig7BEot9,https://api.spotify.com/v1/audio-analysis/6wycnu8FWXsj68ig7BEot9,https://api.spotify.com/v1/tracks/6wycnu8FWXsj68ig7BEot9
0.524,0.586,9,-5.431,1,0.0262,0.356,0,0.121,0.285,101.214,0AdjJ2SaOeb5bPJ67nDbsW,254293,4,audio_features,spotify:track:0AdjJ2SaOeb5bPJ67nDbsW,https://api.spotify.com/v1/audio-analysis/0AdjJ2SaOeb5bPJ67nDbsW,https://api.spotify.com/v1/tracks/0AdjJ2SaOeb5bPJ67nDbsW
0.558,0.765,11,-5.063,1,0.0295,0.00893,0.000131,0.102,0.76,145.068,1CT5PqwPPJzyv7V4pJ8mYh,204493,4,audio_features,spotify:track:1CT5PqwPPJzyv7V4pJ8mYh,https://api.spotify.com/v1/audio-analysis/1CT5PqwPPJzyv7V4pJ8mYh,https://api.spotify.com/v1/tracks/1CT5PqwPPJzyv7V4pJ8mYh
0.533,0.91,8,-3.087,1,0.0566,0.0102,0,0.108,0.494,113.054,0MCj53AsRW14o9QEIBSeZD,208733,4,audio_features,spotify:track:0MCj53AsRW14o9QEIBSeZD,https://api.spotify.com/v1/audio-analysis/0MCj53AsRW14o9QEIBSeZD,https://api.spotify.com/v1/tracks/0MCj53AsRW14o9QEIBSeZD
0.687,0.793,5,-3.577,1,0.0333,0.302,3.46e-06,0.1,0.673,100.993,7I5fYc4qKJddht8Ozhqqdx,206507,4,audio_features,spotify:track:7I5fYc4qKJddht8Ozhqqdx,https://api.spotify.com/v1/audio-analysis/7I5fYc4qKJddht8Ozhqqdx,https://api.spotify.com/v1/tracks/7I5fYc4qKJddht8Ozhqqdx
